ID,Owner,Title,"For (Male, Female, both)",Type 1,Type 2,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10,Tag11,Tag12,Tag13,Tag14,Tag15
1,Safwan,Printed hoodies,both,Top,Hoodie,Printed hoodie,Unisex,pullover hoodie,pocket hoodie,kangaroo font,white hoodie,black hoodie,royal blue hoodie,gray hoodie,navy hoodie,washable,stylish,custom design,winter collection,Astronout design
2,Safwan,Australian Map hoodie,both,Top,Hoodie,Printed hoodie,Unisex,pullover hoodie,pocket hoodie,kangaroo font,white hoodie,black hoodie,royal blue hoodie,gray hoodie,navy hoodie,washable,stylish,custom design,winter collection,Australia map hoodie
3,Safwan,Devil Tank Top,Male,Top,Tank,Printed Tank Top,Devilish design,Summer collection,Black Tank,White Tank,Gray Tank,Breathable,Cotton,Sleeveless,Stylish,Custom made,washable,comfy,sleepwear,unique design
4,Safwan,Floral print summer dress,Female,Dress,Outfit,Floral printed dress,Summer dress,Summer collection,Floral design,Floral print,flowers,custom design,breathable,flowy,short sleeve,round neck,above knee,casual dress,T-shirt style dress,milk-silk fabric
5,Safwan,Printed T-shirt,Both,Top,T-shirt,Black T-shirt,Cotton,Summer collection,black tee,summer wear,printed Tee,breathable,casual tee,round neck,unisex,,,,,
6,Safwan,Dragon Design Sweatpants,Both,Bottom,Gymwear,Dragon design sweatpants,Cotton,Sweats,Trousers,White Trousers,Active wear,breathable,Comfy,Gym collection,skin friendly,sweat abosrbing,pocket sweats,washable,unisex,
7,Safwan,Jersey,Male,Top,Sportswear,Gymwear logo,Athletic apparel emblem,Stylish workout logo,Sportswear badge,Sporty,Custom made,Unique design,Superman type,Super hero,Strength symbol,Jersey style,hoodie style,washable,comfy,Super Nova
8,Safwan,Dripzora Sweater,Both,Top,Sweater,Dripzora Sweater,Unisex,Cotton,White Tee,Unique design,Custom made,custom design,Hilly design,Mountains,winter collection,casual clothing,casual style,round neck,comfy,breahtable
9,Safwan,Running shoes,Both,Footwear,Activewear,Electric design,unisex,Sporty ,spotswear,Unique design,Electrify ,Flash,Hiking shoes,Running shoes,Sporty shoes,washable,indoor ,outdoor,,
10,Safwan,Casual Sneaker,Both,Footwear,Sneakers,Casual sneaks ,Casual shoes,Outdoor,indoor,Sporty,Unique design,Electrify,Flash,Unisex,Fiber,washable,water proof,party wear,,
11,Safwan,Moon Night Dress,Female,Outfit,Sleepwear,Moon design,Casual night dress,Night dress,comfy,indoor,casual style,casual chic,cotton pants,cotton shirt,sleepwear collection,full outfit,pajamas,skin-friendly fabric,cute night dress,custom made
12,Safwan,Printed Low Top Shoes,Male,Footwear,Low Top Shoe,Astronautic design,Outdoor,Indoor,Party wear,Comfy,Comfortable ,Party style,Flash,hiking shoes,running shoes,washable,water proof,sporty,sporty look,custom made
13,Safwan,Electric High Top Shoes,Both,Footwear,High Top Shoe,Electric Design,Outdoor,Indoor,Comfy,Hiking shoe,Trekking shoe,comfortable,Electrics style,custom made,Unisex,washable,water proof,sporty look,,
14,Safwan,Electric Low Top Shoes,Male,Footwear,Activewear,Electric Design,Outdoor,Indoor,Comfy,party wear,sports shoe,hiking shoe,electric style,casual style,stylish shoe,trekking shoe,custom made,unique design,comfortable,flash
15,Safwan,Sporty caps,Male,Accessories,Activewear,Headwear,Electric design,Outdoor,Comfy,party wear,sports hat,Sports cap,Sun hat,Baseball hat,Stylish hat,Sun protective,custom made,unique design,comfortable,flash
16,Safwan,Dripzora Knit Hats,Both,Accessories,Headwear,Headwear,Mountain design,Outdoor,Indoor,Comfy,partywear ,casual hat,casual style,sun hat,sun protective,knitted,custom made,unique design,comfortable,Dripzora merch
17,Safwan,Baseball Cap,Male,Accessories,Activewear,Headwear,Electric design,Sporty design,Sporty ,Outdoor,Indoor,comfortable,Comfy ,Sun protective,Stylish hat,baseball hat,custom made,unique design,sports hat,Flash
18,Safwan,Full Width Socks,Both,Accessories,Footwear,Full width socks,Above ankle,Sporty look,Electric design,Sporty,Outdoor,Indoor,Comfy,Long lasting,Washable,stylish,Casual style,unique design,custom made,sports socks
19,Safwan,Dripzora women full width socks,Female,Accessories,Footwear,Full width socks,Above ankle,Mountainy look,Mountainous design,Indoor,Outdoor,comfy,Comfortable,casual style,Washable,Feminine,custom made,unique design,,
20,Safwan,Mid-calf socks,Female,Accessories,Footwear,crew socks,below knee,above ankle ,Moon design,Moon Knight,Moon night,Comfy,Indoors,Outdoor,casual style,washable,feminine,custom made,unique design,sporty
21,Safwan,DRIPZORA Sweatpants,Male,Bottom,Activewear/Sleepwear,Dripzora sweatpants,Gray Sweatpants,Gymwear ,Gym Style,Comfy ,Unique design,Comfy design,Custom made,Outdoor,Indoor,Sleeping pants,Workout pants,Mountainy design,washable,breathable
22,Safwan,Colorful Long Pajama Pants ,Male,Bottom,Sleepwear,Pajamas,Comfy ,Colorful pants,Sleeping pants,Indoor,Unique design,custom design,custom made,Stylish,washable,breathable,long pants,Sleepwear,,
